"UAI","Etablissement","Référence GALAXIE","N° dans le SI local","Article","Corps","Chaire","Section","Section2","Section3","Date de prise de fonction","Date ouverture cand","Date clôture cand","Profil","Localisation","Etat de vacance"
"0134009M","UNIVERSITE AIX-MARSEILLE","650 * ","52414","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Théorie du droit Droit civil","Aix en Provence",""
"0141408E","UNIVERSITE DE CAEN","4391 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","DROIT DE L'ENTREPRISE","CAEN",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4331 * ","0100MCF0279","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la famille, droit des personnes, droit de la santé","Brest","S"
"0333298F","UNIVERSITE DE BORDEAUX","330","1132","26-I-1","MCF","Non","1","","","01/09/2018","06/02/2018","08/03/2018","Institut d'études judiciaires, Philosophie du droit, Droit social, Droit international privé","BORDEAUX",""
"0333298F","UNIVERSITE DE BORDEAUX","332","1269","26-I-1","MCF","Non","1","","","01/09/2018","06/02/2018","08/03/2018","Droit Fiscal","PESSAC",""
"0341089Z","UNIVERSITE MONTPELLIER 3 (PAUL VALERY)","4220 * ","365","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit prive","Montpellier",""
"0342321N","UNIVERSITE DE MONTPELLIER","245 * ","0221","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le poste requiert une compétence particulière pour enseigner et participer à des recherches dans le domaine du droit des entreprises et notamment en droit patrimonial de l¿entreprise.","Montpellier",""
"0350936C","UNIVERSITE RENNES 1","4447 * ","01MCF0588","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Enseignement droit civil.Projet de recherche à l'intersection de plusieurs axes de IODE ou projet de recherche portant sur les transformations numériques ou projet de recherche interdisciplinaire","RENNES",""
"0370770L","UNIVERSITE DE TOURS (IUT TOURS)","4391","0472","26-I-1","MCF","Non","1","","","01/09/2018","09/02/2018","12/03/2018","Droit civil - Droit des affaires","IUT de Tours",""
"0370800U","UNIVERSITE DE TOURS","4367","0829","26-I-1","MCF","Non","1","","","01/09/2018","09/02/2018","12/03/2018","Droit privé et sciences criminelles","UFR Droit","S"
"0383493R","UNIVERSITE GRENOBLE ALPES","269 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l'innovation, droit des contrats civils et commerciaux, droit privé et sciences criminelles","Grenoble","S"
"0383493R","UNIVERSITE GRENOBLE ALPES","270 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit européen des affaires, Droit du commerce international, Droit comparé des affaires, Droit privé et sciences criminelles","Grenoble","S"
"0440984F","UNIVERSITE DE NANTES","4438 * ","1538","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Propriété intellectuelle ","Nantes",""
"0440984F","UNIVERSITE DE NANTES","4440 * ","2227","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit des relations sociales, du travail et de l'emploi","Nantes",""
"0440984F","UNIVERSITE DE NANTES","4441 * ","2228","26-I-1","MCF","Non","1","2","","01/09/2018","22/02/2018","29/03/2018","Droit de la santé","Nantes",""
"0542493S","UNIVERSITE DE LORRAINE","1079 * ","01MCF0839","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l¿entreprise","NANCY",""
"0542493S","UNIVERSITE DE LORRAINE","1102 * ","01MCF0327","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de l¿entreprise","NANCY",""
"0561718N","UNIVERSITE DE BRETAGNE SUD (LORIENT)","4110 * ","0351","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit","IUT Vannes","S"
"0593279U","UNIVERSITE DE VALENCIENNES","4171 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","introduction au droit, droit des obligations, droit du travail, droit commercial, ","VALENCIENNES LES TERTIALES",""
"0632035V","UNIVERSITE CLERMONT AUVERGNE","88 * ","0127","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé - Droit privé général - Droit de l'environnement ","Clermont-Ferrand",""
"0660586D","UNIV. PERPIGNAN (IUT PERPIGNAN)","4182 * ","MCF0142","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé, droit commercial, droit du travail","IUT/SITE NARBONNE-LABORATOIRE PERPIGNAN",""
"0673021V","UNIVERSITE DE STRASBOURG","4467 * ","","33","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la propriété intellectuelle (et industrielle) - spécialiste marques, dessins et modèles","Strasbourg","S"
"0680053N","UNIV. MULHOUSE (IUT COLMAR)","4160 * ","01 MCF 0000","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit de la santé environnementale et des catastrophes sanitaires (droit comparé), droit du travail, droit des obligations.","IUT de COLMAR",""
"0680169P","UNIV. MULHOUSE (IUT MULHOUSE)","4168 * ","01 MCF 0054","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit Privé : droit du travail, droit social et droit des affaires","I.U.T de Mulhouse ",""
"0692437Z","UNIVERSITE LYON 3 (JEAN MOULIN)","4270 * ","0679","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le candidat ou la candidate devra présenter le profil suivant : - droit privé et sciences criminelles","LYON / BOURG-EN-BRESSE","S"
"0692437Z","UNIVERSITE LYON 3 (JEAN MOULIN)","4271 * ","0072","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le candidat ou la candidate devra présenter le profil suivant :- droit privé et sciences criminelles","LYON / BOURG-EN-BRESSE","S"
"0730858L","UNIVERSITE DE SAVOIE MONT-BLANC","4213 * ","459","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","E:Droit du travail,droit social,droit privé,enseignements en anglais. R:Droit du travail,droit des contrats.Aptitude à développer les projets collectifs de recherche et les axes de l'unité.","CHAMBERY","S"
"0730858L","UNIVERSITE DE SAVOIE MONT-BLANC","4214 * ","672","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","E:Droit commerce/entreprise,droit européen/international,droit privé,droit comparé,ens. en anglais.Double L Droit/LEA Annecy.R:Droit:européen,international,commercial.Dév.projets collectifs,axes unité","ANNECY","S"
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4465 * ","6196","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé et sciences criminelles","CAVEJ - Centre Rene Cassin",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4466 * ","1995","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","CAVEJ - Centre René Cassin","CAVEJ - Centre Rene Cassin",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4469 * ","14241","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit civil - Droit du travail","Ecole de Droit de la Sorbonne",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4470 * ","14226","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit privé et sciences criminelles","Ecole de Droit de la Sorbonne",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4191 * ","MCF0112","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4192 * ","MCF0119","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4193 * ","MCF0121","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4194 * ","MCF0128","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4195 * ","MCF0138","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4183 * ","","26-I-1","MCF","Non","1","2","","01/09/2018","22/02/2018","29/03/2018","DROIT FONCIER","292 rue Saint Martin",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4192 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","DROIT PRIVE GÉNÉRAL ET DROITS DES AFFAIRES ET IMMOBILIER","292 rue Saint-Martin",""
"0753471R","CONSERVATOIRE NAT. DES ARTS ET METIERS","4193 * ","","26-I-1","MCF","Non","1","4","6","01/09/2018","22/02/2018","29/03/2018","CYBERSECURITE","292 rue Saint-Martin",""
"0761904G","UNIVERSITE DE ROUEN","4415 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Contrats civils et commerciaux","Rouen",""
"0830766G","UNIVERSITE DE TOULON (VAR)","4162 * ","4162","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Le.a candidat.e recruté.e intégrera prioritairement l'équipe pédagogique de licence et assurera des enseignements en 1er cycle à la fois sur les sites de Toulon et Draguignan de la Faculté de droit.","Toulon centre ville",""
"0840685N","UNIVERSITE D'AVIGNON","4111 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit du numérique, Droit privé, Droit civil, Droit des affaires","Campus Hannah Arendt - Centre-ville",""
"0860856N","UNIVERSITE DE POITIERS","4522 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Enseignements en droit prive et tout particulierement en droit du travail pour des etudiants en DUT GEA. Encadrement des etudiants, suivi de stages et a court terme des responsabilites administratives","Poitiers",""
"0860856N","UNIVERSITE DE POITIERS","4544 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit prive (civil, propriete intellectuelle, affaires) avec une inclination pour le droit compare et international, la theorie ou la philosophie du droit. ","Poitiers",""
"0911101C","UNIVERSITE PARIS 11","4501 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit civil / Droit des affaires","Sceaux",""
"0911101C","UNIVERSITE PARIS 11","4502 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit des nouvelles technologies /Propriété intellectuelle","Sceaux",""
"0911975C","UNIVERSITE D'EVRY VAL D'ESSONNE","4139 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Contentieux penal, droit des victimes et reparation, droit penal des affaires.","EVRY",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4456 * ","344","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Procédure civile ¿ Voies d¿exécution ","NANTERRE",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4457 * ","346","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit civil ¿ Droit des personnes et des familles ¿ Droit de la santé ¿ Droits fondamentaux","NANTERRE",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4458 * ","354","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit du numérique et des nouvelles technologies","NANTERRE",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4459 * ","946","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Risques - Responsabilité - Assurance - Protection sociale","NANTERRE",""
"0941111X","UNIVERSITE PARIS EST CRETEIL (PARIS 12","4545 * ","1123","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit prive","Universite de Paris 12 (Upec)",""
"0951793H","UNIVERSITE DE CERGY-PONTOISE","4336 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Poste en droit civil des biens (particulièrement droit immobilier, financement immobilier, droit des biens, droit des suretés)","CERGY",""
"0951793H","UNIVERSITE DE CERGY-PONTOISE","4337 * ","","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Poste en droit privé à dominante civil/affaires (enseignements essentiellement dans des disciplines à la frontière du droit civil et du droit des affaires).","CERGY",""
"7200664J","UNIVERSITE DE CORTE","4077 * ","0001","26-I-1","MCF","Non","1","","","01/09/2018","22/02/2018","29/03/2018","Droit civil, droit processuel, droit pénal","CORTE",""
"0060931E","UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)","4526","02 MCF ID 478","26-I-1","MCF","Non","2","","","01/09/2018","01/02/2018","08/03/2018","Droit international public, Droit international économique","UFR DROIT ",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4330 * ","0200MCF0969","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","","Quimper",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4332 * ","0200MCF0152","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","","Brest et Quimper","S"
"0440984F","UNIVERSITE DE NANTES","4439 * ","0404","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit européen Droit international ","Nantes",""
"0542493S","UNIVERSITE DE LORRAINE","1044 * ","02MCF0212","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public interne, droit des libertés fondamentales","NANCY",""
"0542493S","UNIVERSITE DE LORRAINE","1046 * ","02MCF0221","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit de l¿Union européenne (institutionnel et matériel)","NANCY",""
"0542493S","UNIVERSITE DE LORRAINE","1048 * ","02MCF0374","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public interne","METZ",""
"0595964M","UNIVERSITE DU LITTORAL","4223 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public, gestion locale et droit de l¿environnement. Une sensibilité littorale et marine sera appréciée.","Boulogne-sur-Mer / Dunkerque",""
"0660437S","UNIVERSITE DE PERPIGNAN (VIA DOMITIA)","4166 * ","MCF0058","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public","TOUS LES SITES DE LA FACULTE SJE",""
"0673021V","UNIVERSITE DE STRASBOURG","4468 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public général","Strasbourg",""
"0690173N","I.E.P DE LYON ","4053 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public général","14 avenue Berthelot - campus de Lyon",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4467 * ","14236","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public","CAVEJ - Centre Rene Cassin",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4468 * ","14123","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public - droit constitutionnel","Centre Pantheon",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4472 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public comparé","Ecole de Droit de la Sorbonne",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4196 * ","MCF0174","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4197 * ","MCF0178","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0751718K","UNIVERSITE PARIS 2 (PANTHEON-ASSAS)","4198 * ","MCF0199","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","","PARIS",""
"0840685N","UNIVERSITE D'AVIGNON","4108 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public, Droit constitutionnel, Droit du numerique","Campus Hannah Arendt - Centre-ville",""
"0860856N","UNIVERSITE DE POITIERS","4541 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public, Droit administratif, Droit des collectivites territoriales","La Couronne",""
"0911101C","UNIVERSITE PARIS 11","4506 * ","","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit administratif général, Droit constitutionnel, droit de l¿environnement","Sceaux",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4460 * ","1360","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public (spécialisation droits des libertés fondamentales)","NANTERRE",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4482 * ","1293","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit administratif ; droit public financier","NANTERRE",""
"0931238R","UNIVERSITE PARIS 13","4300 * ","1406","26-I-1","MCF","Non","2","","","01/09/2018","22/02/2018","29/03/2018","Droit public interne - droit administratif","Villetaneuse",""
"0370800U","UNIVERSITE DE TOURS","4369","0797","26-I-1","MCF","Non","3","","","01/09/2018","09/02/2018","12/03/2018","Histoire du droit public et privé","UFR Droit",""
"0421095M","UNIVERSITE DE SAINT-ETIENNE","4243 * ","0215","26-I-1","MCF","Non","3","","","01/09/2018","22/02/2018","29/03/2018","HISTOIRE DU DROIT ET DES INSTITUTIONS","ST ETIENNE",""
"0511296G","UNIVERSITE DE REIMS","4324 * ","03","26-I-1","MCF","Non","3","","","01/09/2018","22/02/2018","29/03/2018","Histoire du droit et des institutions","REIMS",""
"0623957P","UNIVERSITE D'ARTOIS","4276 * ","03 MCF 1499","26-I-1","MCF","Non","3","","","01/09/2018","22/02/2018","29/03/2018","Teaching : history of social sciences, history of public policies, general culture","Douai",""
"0060931E","UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)","4527","04 MCF ID 473","26-I-1","MCF","Non","4","","","01/09/2018","01/02/2018","08/03/2018","Sociologie politique : Institutions et action collective européennes et internationales","UFR DROIT ",""
"0130221V","I.E.P D'AIX-EN-PROVENCE","4046 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Politiques publiques du religieux dans les sociétés musulmanes et Européennes/mise à l'agenda et processus politique relatifs aux ""radicalisations"" à référentiel religieux.","IEP AIX EN PROVENCE",""
"0330192E","I.E.P DE BORDEAUX","5 * ","U0400MCF0958","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie de l'action publique ","PESSAC",""
"0330192E","I.E.P DE BORDEAUX","4040 * ","U0400MCF0015","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie politique des Afriques, développement et risques","IEP de Bordeaux",""
"0333298F","UNIVERSITE DE BORDEAUX","326","1010","26-I-1","MCF","Non","4","22","19","01/09/2018","06/02/2018","08/03/2018","Relations internationales, sécurité, défense","PESSAC","S"
"0350936C","UNIVERSITE RENNES 1","4448 * ","04MCF0436","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Ens:hist des idées politiq,théorie politiq.Rech en lien avec 1 axe dvlpé au sein de l'IDPSP,«Mutations de l'Etat et théories de la démocratie».Approche pluridisciplinaire de la Sc politique","RENNES",""
"0460697H","UNIV. TOULOUSE 2 (IUT FIGEAC)","4417","","26-I-1","MCF","Non","4","","","01/09/2018","15/02/2018","19/03/2018","Science politique : Politique Publique, Acteurs et territoires","Figeac",""
"0511296G","UNIVERSITE DE REIMS","4326 * ","04","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie politique, Relations internationales","REIMS",""
"0542493S","UNIVERSITE DE LORRAINE","1047 * ","04MCF0704","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","sociologie politique, sociologie des partis politiques et des élections","NANCY",""
"0595876S","I.E.P DE LILLE","4034 * ","MCF0020","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Politique européenne / politique de défense","SCIENCES PO LILLE",""
"0597065J","UNIVERSITE DE LILLE","36 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie politique de l'international.","LILLE",""
"0597065J","UNIVERSITE DE LILLE","37 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Méthodes quantitatives dans l'analyse du politique.","LILLE",""
"0632035V","UNIVERSITE CLERMONT AUVERGNE","78 * ","0183","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Science politique - Relations internationales ","Clermont-Ferrand",""
"0681166Y","UNIVERSITE DE MULHOUSE","4177 * ","04 MCF 0000","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie politique, action publique","Fac des Sciences Eco, Soc. et Juridiques",""
"0691775E","UNIVERSITE LYON 2 (LUMIERE)","4331 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Sociologie de l¿action publique","Bron","S"
"0750736T","UNIVERSITE PARIS-DAUPHINE","4207 * ","108","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Politique internationale, politique européenne","Paris",""
"0751719L","UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)","4254 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Science politique, sociologie politique","centre censier","S"
"0753455Y","ECOLE NORMALE SUPERIEURE DE PARIS","4166 * ","","26-I-1","MCF","Non","4","22","23","01/09/2018","22/02/2018","29/03/2018","http://www.ens.fr/l-ens-recrute/recrutement-par-concours/recrutement-enseignants-chercheurs-session-synchronisee","45 rue d'ulm 75005",""
"0922605G","INS FREJHEA","4065 * ","","26-I-1","MCF","Non","4","19","70","01/09/2018","22/02/2018","29/03/2018","Analyse des politiques sociales et des pratiques dans les champs sanitaire, social, et médico-social","suresnes",""
"0951793H","UNIVERSITE DE CERGY-PONTOISE","4341 * ","","26-I-1","MCF","Non","4","","","01/09/2018","22/02/2018","29/03/2018","Service d¿enseignement (partiellement en anglais, de la 1ère année aux M2) : Institutions politiques européennes et internationales. ","SAINT GERMAIN EN LAYE",""
"0134009M","UNIVERSITE AIX-MARSEILLE","655 * ","56725","26-I-1","MCF","Non","5","26","","01/09/2018","22/02/2018","29/03/2018","Spécialiste du Big Data, Data Scientist : Economie appliquée, mathématique appliquée ou statistique","Aix-en-Provence Marseille",""
"0311381H","INP DE TOULOUSE","4115 * ","0076","26-I-1","MCF","Non","5","6","","01/09/2018","22/02/2018","29/03/2018","Performances économiques et financières de l¿entreprise","AUZEVILLE-TOLOSANE",""
"0311383K","UNIVERSITE TOULOUSE 2","4418","","26-I-1","MCF","Non","5","24","","01/09/2018","15/02/2018","19/03/2018","Economie sociale et solidaire, Economie territoriale","Toulouse",""
"0333298F","UNIVERSITE DE BORDEAUX","327","1080","26-I-1","MCF","Non","5","","","01/09/2018","06/02/2018","08/03/2018","Economie du développement et économie internationale","PESSAC",""
"0342321N","UNIVERSITE DE MONTPELLIER","248 * ","0480","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Economie et environnement","Montpellier",""
"0342321N","UNIVERSITE DE MONTPELLIER","250 * ","0118","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Economie de la santé, méthodes quantitatives","Montpellier",""
"0350936C","UNIVERSITE RENNES 1","4452 * ","05MCF0607","26-I-1","MCF","Non","5","6","","01/09/2018","22/02/2018","29/03/2018","Finance d'entreprise ou finance de marché","RENNES",""
"0350937D","UNIVERSITE RENNES 2","4294 * ","0292","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Économie politique","Rennes et Saint-Brieuc",""
"0370800U","UNIVERSITE DE TOURS","4370","0260","26-I-1","MCF","Non","5","","","01/09/2018","09/02/2018","12/03/2018","Micro-économétrie appliquée","UFR Droit",""
"0440984F","UNIVERSITE DE NANTES","4444 * ","2231","26-I-1","MCF","Non","5","6","","01/09/2018","22/02/2018","29/03/2018","Banque - Finance","Nantes",""
"0450855K","UNIVERSITE D'ORLEANS","4311 * ","MCF0449","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Enseignant chercheur spécialisé en économie internationale, développement durable, économie de l'environnement","UFR Collegium DEG - ORLEANS",""
"0450855K","UNIVERSITE D'ORLEANS","4312 * ","MCF0961","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Enseignant chercheur spécialisé en finance, macroéconomie ou économétrie financière","UFR Collegium DEG - ORLEANS",""
"0542493S","UNIVERSITE DE LORRAINE","1045 * ","05MCF0805","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Microéconomie","NANCY",""
"0542493S","UNIVERSITE DE LORRAINE","1071 * ","05MCF0232","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Microéconomie appliquée","METZ",""
"0595876S","I.E.P DE LILLE","4035 * ","MCF0025","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Economie de l¿environnement, économie des politiques agricoles et alimentaires","SCIENCES PO LILLE","S"
"0595964M","UNIVERSITE DU LITTORAL","4217 * ","0410","26-I-1","MCF","Non","5","6","","01/09/2018","22/02/2018","29/03/2018","Sciences économiques, sciences de gestion spécialisé en économie et management de l¿innovation et de l¿entrepreneuriat: organisation - management, achat-qualité ¿ marketing. ","Dunkerque",""
"0597065J","UNIVERSITE DE LILLE","59 * ","","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Economie des transports.","TOURCOING",""
"0660437S","UNIVERSITE DE PERPIGNAN (VIA DOMITIA)","4169 * ","MCF0098","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","SCIENCES ECONOMIQUES, économie sociale et solidaire","TOUS LES SITES DE LA FACULTE SJE","S"
"0673021V","UNIVERSITE DE STRASBOURG","4469 * ","","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Economie et gestion du risque ","Strasbourg",""
"0673021V","UNIVERSITE DE STRASBOURG","4470 * ","","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Histoire de la pensée économique et cliométrie","Strasbourg",""
"0694123G","ECOLE NORMALE SUPERIEURE DE LYON","4164 * ","MCF0193","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Micro-économie appliquée","15 parvis Rene Descartes, Lyon ",""
"0750736T","UNIVERSITE PARIS-DAUPHINE","4205 * ","277","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Applications are invited in all fields of Economics. Positions are offered in the LEDa (Laboratory of Economics in Dauphine http://leda.dauphine.fr/)","Paris",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4444 * ","2103","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Économie Quantitative","Ecole d'economie de la Sorbonne /UFR 02",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4446 * ","2180","26-I-1","MCF","Non","5","","","01/09/2018","22/02/2018","29/03/2018","Économie de l'environnement et du développement","Ecole d'economie de la Sorbonne /UFR 02",""
